locality,Price,Type_property,Sale_type,Number_bedrooms,Living_area,fully_equipped_kitchen,Furnished,terrace,garden,surface_land,surface_area_plot,facades_number,Swimming_pool,building_state,fire_place
bornem,194000,house,for-sale,3,100,1,0,None,150,100,283,3,None,To renovate,None
duffel,395000,house,for-sale,4,165,1,0,63,360,165,689,3,None,To be done up,None
hoboken,195000,apartment,for-sale,2,90,1,0,6,None,90,None,2,None,To be done up,None
duffel,210000,apartment,for-sale,2,95,1,0,None,None,95,None,None,None,Good,None
bornem,295000,apartment,for-sale,2,102,1,0,3,None,102,None,2,None,Good,None
zwijndrecht-burcht,495000,penthouse,for-sale,2,135,1,0,65,None,135,None,3,0,As new,None
oud-turnhout,575000,apartment,for-sale,3,230,1,0,30,None,230,None,4,None,As new,1
oud-turnhout,585000,apartment,for-sale,3,222,1,0,30,None,222,None,4,None,As new,None
berchem,395000,apartment,for-sale,2,132,1,None,None,None,132,None,2,0,Good,None
herselt,281750,apartment,for-sale,2,99,1,None,21,None,99,None,2,0,As new,None
edegem,315000,apartment,for-sale,1,72,1,0,8,None,72,None,2,0,As new,None
edegem,320000,apartment,for-sale,1,72,1,0,8,None,72,None,2,0,As new,None
herselt,329000,apartment,for-sale,2,116,1,None,9,None,116,None,3,None,As new,None
herselt,363250,apartment,for-sale,3,124,1,None,32,None,124,None,2,0,As new,None
edegem,420000,apartment,for-sale,2,94,1,0,9,None,94,None,2,0,As new,None
edegem,425000,apartment,for-sale,2,94,1,0,9,None,94,None,2,0,As new,None
edegem,590000,apartment,for-sale,2,122,1,0,15,None,122,None,2,0,As new,None
sint-katelijne-waver,698000,villa,for-sale,3,206,1,0,46,857,206,1028,4,None,None,None
willebroek,139000,house,for-sale,2,94,1,0,None,67,94,151,2,0,To renovate,None
wommelgem,579000,house,for-sale,3,210,1,0,100,490,210,744,4,None,Good,None
antwerpen-6,579000,mansion,for-sale,4,255,1,None,None,27,255,125,2,None,Just renovated,None
hoboken,229000,apartment,for-sale,2,102,None,0,9,None,102,None,2,None,As new,None
wilrijk,189500,apartment,for-sale,1,75,1,0,None,None,75,None,None,None,Just renovated,None
antwerp,1295000,penthouse,for-sale,2,175,1,None,30,None,175,None,4,0,As new,1
schoten,2595000,exceptional-property,for-sale,5,811,1,0,None,None,811,9100,4,1,As new,None
putte,448000,house,for-sale,3,175,1,0,37,200,175,503,3,None,Good,None
sint-katelijne-waver,259000,house,for-sale,3,140,1,0,17,75,140,304,3,None,To renovate,None
puurs,287000,house,for-sale,3,131,1,0,None,None,131,223,3,None,Good,None
willebroek,297000,house,for-sale,3,150,1,0,6,None,150,80,2,None,Good,None
